Activity Period,Operating Airline,GEO Summary,GEO Region,Price Category Code,Terminal,Boarding Area,Passenger Count,Year,Month
200507,0,0,0,0,0,1,27271,2005,6
200507,0,0,0,0,0,1,29131,2005,6
200507,0,0,0,0,0,1,5415,2005,6
200507,1,1,1,1,0,1,35156,2005,6
200507,1,1,1,1,0,1,34090,2005,6
200507,2,1,2,1,3,6,6263,2005,6
200507,2,1,2,1,3,6,5500,2005,6
200507,3,1,3,1,3,0,12050,2005,6
200507,3,1,3,1,3,0,11638,2005,6
200507,4,1,4,1,3,6,4998,2005,6
200507,4,1,4,1,3,6,4962,2005,6
200507,5,0,0,0,3,0,8055,2005,6
200507,5,0,0,0,3,0,7984,2005,6
200507,6,0,0,1,3,0,36641,2005,6
200507,6,0,0,1,3,0,39379,2005,6
200507,6,0,0,1,3,0,3678,2005,6
200507,6,1,1,1,3,0,7977,2005,6
200507,6,1,1,1,3,0,8837,2005,6
200507,6,1,5,1,3,0,6969,2005,6
200507,6,1,5,1,3,0,10046,2005,6
200507,6,1,5,1,3,0,2266,2005,6
200507,7,1,2,1,3,6,6545,2005,6
200507,7,1,2,1,3,6,6094,2005,6
200507,8,0,0,1,2,4,166577,2005,6
200507,8,0,0,1,2,4,160890,2005,6
200507,9,0,0,1,2,4,5493,2005,6
200507,9,0,0,1,2,4,5213,2005,6
200507,10,1,2,1,3,0,5041,2005,6
200507,10,1,2,1,3,0,4744,2005,6
200507,11,0,0,1,0,2,1552,2005,6
200507,11,0,0,1,0,2,1484,2005,6
200507,12,1,3,1,3,0,325,2005,6
200507,12,1,3,1,3,0,545,2005,6
200507,13,1,3,1,3,0,20632,2005,6
200507,13,1,3,1,3,0,21686,2005,6
200507,14,1,2,1,3,0,11010,2005,6
200507,14,1,2,1,3,0,9628,2005,6
200507,15,1,2,1,3,0,13638,2005,6
200507,15,1,2,1,3,0,11255,2005,6
200507,16,0,0,1,0,2,97510,2005,6
200507,16,0,0,1,0,2,93791,2005,6
200507,17,1,2,1,3,6,14142,2005,6
200507,17,1,2,1,3,6,12132,2005,6
200507,18,0,0,0,0,1,19234,2005,6
200507,18,0,0,0,0,1,18368,2005,6
200507,19,0,0,1,0,2,7579,2005,6
200507,19,0,0,1,0,2,7658,2005,6
200507,20,0,0,1,0,1,5284,2005,6
200507,20,0,0,1,0,1,5257,2005,6
200507,21,1,3,1,3,0,4540,2005,6
200507,21,1,3,1,3,0,4341,2005,6
200507,22,0,0,0,3,0,10843,2005,6
200507,22,0,0,0,3,0,10967,2005,6
200507,23,1,2,1,3,0,9195,2005,6
200507,23,1,2,1,3,0,9086,2005,6
200507,24,1,3,1,3,0,9978,2005,6
200507,24,1,3,1,3,0,9587,2005,6
200507,25,1,2,1,3,0,6153,2005,6
200507,25,1,2,1,3,0,5646,2005,6
200507,26,1,3,1,3,6,22389,2005,6
200507,26,1,3,1,3,6,20511,2005,6
200507,27,0,0,1,0,1,2636,2005,6
200507,27,0,0,1,0,1,2535,2005,6
200507,28,1,5,1,3,6,7751,2005,6
200507,28,1,5,1,3,6,7845,2005,6
200507,29,0,0,1,0,0,1797,2005,6
200507,29,0,0,1,0,0,3238,2005,6
200507,30,0,0,1,0,2,64231,2005,6
200507,30,0,0,1,0,2,62049,2005,6
200507,30,1,2,1,3,0,7229,2005,6
200507,30,1,2,1,3,0,6554,2005,6
200507,31,1,2,1,3,0,12828,2005,6
200507,31,1,2,1,3,0,10269,2005,6
200507,32,1,2,1,3,6,19211,2005,6
200507,32,1,2,1,3,6,17462,2005,6
200507,33,0,0,1,0,2,7262,2005,6
200507,33,0,0,1,0,2,6586,2005,6
200507,33,0,0,1,2,5,103279,2005,6
200507,33,0,0,1,2,5,102023,2005,6
200507,33,1,1,1,2,5,3688,2005,6
200507,33,1,1,1,2,5,3633,2005,6
200507,34,0,0,0,0,1,4827,2005,6
200507,34,0,0,0,0,1,4784,2005,6
200507,35,1,6,1,3,6,6324,2005,6
200507,35,1,6,1,3,6,7031,2005,6
200507,36,0,0,1,0,0,46042,2005,6
200507,36,0,0,1,0,0,45553,2005,6
200507,36,0,0,0,0,1,38951,2005,6
200507,36,0,0,0,0,1,37848,2005,6
200507,37,0,0,1,0,1,62178,2005,6
200507,37,0,0,1,0,1,60939,2005,6
200507,38,0,0,0,2,4,58767,2005,6
200507,38,0,0,0,2,4,58277,2005,6
200507,38,0,0,1,2,5,443656,2005,6
200507,38,0,0,1,2,5,421802,2005,6
200507,38,0,0,1,2,5,11388,2005,6
200507,38,1,2,1,3,6,77658,2005,6
200507,38,1,2,1,3,6,68278,2005,6
200507,38,1,2,1,3,6,3953,2005,6
200507,38,1,4,1,3,6,8603,2005,6
200507,38,1,4,1,3,6,8234,2005,6
200507,38,1,4,1,3,6,1385,2005,6
200507,38,1,1,1,2,5,12874,2005,6
200507,38,1,1,1,2,5,12085,2005,6
200507,38,1,1,1,2,5,10,2005,6
200507,38,1,3,1,3,6,30796,2005,6
200507,38,1,3,1,3,6,29283,2005,6
200507,38,1,3,1,3,6,888,2005,6
200507,38,1,5,1,3,6,9537,2005,6
200507,38,1,5,1,3,6,9672,2005,6
200507,38,1,5,1,3,6,45,2005,6
200507,39,1,3,1,3,0,11684,2005,6
200507,39,1,3,1,3,0,10771,2005,6
200507,40,1,1,1,3,0,2480,2005,6
200507,40,1,1,1,3,0,2211,2005,6
200508,0,0,0,0,0,1,27472,2005,7
200508,0,0,0,0,0,1,26535,2005,7
200508,0,0,0,0,0,1,5712,2005,7
200508,1,1,1,1,0,1,34878,2005,7
200508,1,1,1,1,0,1,34105,2005,7
200508,2,1,2,1,3,6,4204,2005,7
200508,2,1,2,1,3,6,3923,2005,7
200508,3,1,3,1,3,0,11230,2005,7
200508,3,1,3,1,3,0,11731,2005,7
200508,4,1,4,1,3,6,4672,2005,7
200508,4,1,4,1,3,6,4006,2005,7
200508,5,0,0,0,3,0,7796,2005,7
200508,5,0,0,0,3,0,7737,2005,7
200508,6,0,0,1,3,0,40431,2005,7
200508,6,0,0,1,3,0,39595,2005,7
200508,6,0,0,1,3,0,1902,2005,7
200508,6,1,1,1,3,0,8901,2005,7
200508,6,1,1,1,3,0,9020,2005,7
200508,6,1,5,1,3,0,7541,2005,7
200508,6,1,5,1,3,0,9333,2005,7
200508,6,1,5,1,3,0,1902,2005,7
200508,7,1,2,1,3,6,6739,2005,7
200508,7,1,2,1,3,6,5966,2005,7
200508,8,0,0,1,2,4,162064,2005,7
200508,8,0,0,1,2,4,157700,2005,7
200508,9,0,0,1,2,4,5233,2005,7
200508,9,0,0,1,2,4,4866,2005,7
200508,10,1,2,1,3,0,4099,2005,7
200508,10,1,2,1,3,0,3376,2005,7
200508,11,0,0,1,0,2,1735,2005,7
200508,11,0,0,1,0,2,1560,2005,7
200508,12,1,3,1,3,0,353,2005,7
200508,12,1,3,1,3,0,751,2005,7
200508,41,0,0,1,4,7,18,2005,7
200508,13,1,3,1,3,0,20312,2005,7
200508,13,1,3,1,3,0,20084,2005,7
200508,14,1,2,1,3,0,11753,2005,7
200508,14,1,2,1,3,0,9050,2005,7
200508,15,1,2,1,3,0,14610,2005,7
200508,15,1,2,1,3,0,10972,2005,7
200508,16,0,0,1,0,2,97343,2005,7
200508,16,0,0,1,0,2,97160,2005,7
200508,17,1,2,1,3,6,13524,2005,7
200508,17,1,2,1,3,6,11950,2005,7
200508,18,0,0,0,0,1,17109,2005,7
200508,18,0,0,0,0,1,17186,2005,7
200508,19,0,0,1,0,2,7923,2005,7
200508,19,0,0,1,0,2,7751,2005,7
200508,20,0,0,1,0,1,5572,2005,7
200508,20,0,0,1,0,1,5268,2005,7
200508,21,1,3,1,3,0,4691,2005,7
200508,21,1,3,1,3,0,4355,2005,7
200508,22,0,0,0,3,0,9191,2005,7
200508,22,0,0,0,3,0,9850,2005,7
200508,23,1,2,1,3,0,9296,2005,7
200508,23,1,2,1,3,0,7913,2005,7
200508,24,1,3,1,3,0,9666,2005,7
200508,24,1,3,1,3,0,9881,2005,7
200508,25,1,2,1,3,0,8856,2005,7
200508,25,1,2,1,3,0,7164,2005,7
200508,26,1,3,1,3,6,21512,2005,7
200508,26,1,3,1,3,6,21881,2005,7
200508,27,0,0,1,0,1,2725,2005,7
200508,27,0,0,1,0,1,2546,2005,7
200508,28,1,5,1,3,6,7156,2005,7
200508,28,1,5,1,3,6,5946,2005,7
200508,29,0,0,1,0,0,1552,2005,7
200508,29,0,0,1,0,0,3382,2005,7
200508,30,0,0,1,0,2,56501,2005,7
200508,30,0,0,1,0,2,56674,2005,7
200508,30,1,2,1,3,0,7107,2005,7
200508,30,1,2,1,3,0,6522,2005,7
200508,31,1,2,1,3,0,12856,2005,7
200508,31,1,2,1,3,0,8718,2005,7
200508,32,1,2,1,3,6,19192,2005,7
200508,32,1,2,1,3,6,17118,2005,7
200508,33,0,0,1,0,2,7052,2005,7
200508,33,0,0,1,0,2,6652,2005,7
200508,33,0,0,1,2,5,102899,2005,7
200508,33,0,0,1,2,5,103188,2005,7
200508,33,1,1,1,2,5,3672,2005,7
200508,33,1,1,1,2,5,3570,2005,7
200508,34,0,0,0,0,1,4720,2005,7
200508,34,0,0,0,0,1,4717,2005,7
200508,35,1,6,1,3,6,7357,2005,7
200508,35,1,6,1,3,6,5128,2005,7
200508,36,0,0,1,0,0,42622,2005,7
200508,36,0,0,1,0,0,44508,2005,7
200508,36,0,0,0,0,1,40712,2005,7
200508,36,0,0,0,0,1,40322,2005,7
200508,37,0,0,1,0,1,61872,2005,7
200508,37,0,0,1,0,1,61768,2005,7
200508,38,0,0,0,2,4,55842,2005,7
200508,38,0,0,1,2,4,27930,2005,7
200508,38,0,0,0,2,4,56087,2005,7
200508,38,0,0,1,2,4,26098,2005,7
200508,38,0,0,1,2,4,676,2005,7
200508,38,0,0,1,2,5,420430,2005,7
200508,38,0,0,1,2,5,398135,2005,7
200508,38,0,0,1,2,5,11585,2005,7
200508,38,1,2,1,3,6,79131,2005,7
200508,38,1,2,1,3,6,68861,2005,7
200508,38,1,2,1,3,6,4059,2005,7
200508,38,1,4,1,3,6,8903,2005,7
200508,38,1,4,1,3,6,7874,2005,7
200508,38,1,4,1,3,6,1475,2005,7
200508,38,1,1,1,2,5,13895,2005,7
200508,38,1,1,1,2,5,12145,2005,7
200508,38,1,3,1,3,6,29236,2005,7
200508,38,1,3,1,3,6,29920,2005,7
200508,38,1,3,1,3,6,863,2005,7
200508,38,1,5,1,3,6,9397,2005,7
200508,38,1,5,1,3,6,9275,2005,7
200508,38,1,5,1,3,6,78,2005,7
200508,39,1,3,1,3,0,10685,2005,7
200508,39,1,3,1,3,0,11072,2005,7
200508,40,1,1,1,3,0,2300,2005,7
200508,40,1,1,1,3,0,2251,2005,7
200509,0,0,0,0,0,1,17341,2005,8
200509,0,0,0,0,0,1,18541,2005,8
200509,0,0,0,0,0,1,4412,2005,8
200509,1,1,1,1,0,1,24473,2005,8
200509,1,1,1,1,0,1,26120,2005,8
200509,2,1,2,1,3,6,4416,2005,8
200509,2,1,2,1,3,6,4568,2005,8
200509,3,1,3,1,3,0,10731,2005,8
200509,3,1,3,1,3,0,11337,2005,8
200509,4,1,4,1,3,6,4565,2005,8
200509,4,1,4,1,3,6,4295,2005,8
200509,5,0,0,0,3,0,7057,2005,8
200509,5,0,0,0,3,0,6806,2005,8
200509,6,0,0,1,3,0,31117,2005,8
200509,6,0,0,1,3,0,33742,2005,8
200509,6,0,0,1,3,0,3843,2005,8
200509,6,1,1,1,3,0,6635,2005,8
200509,6,1,1,1,3,0,7783,2005,8
200509,6,1,1,1,3,0,161,2005,8
200509,6,1,5,1,3,0,5446,2005,8
200509,6,1,5,1,3,0,7674,2005,8
200509,6,1,5,1,3,0,1504,2005,8
200509,7,1,2,1,3,6,5875,2005,8
200509,7,1,2,1,3,6,5960,2005,8
200509,8,0,0,1,2,4,135043,2005,8
200509,8,0,0,1,2,4,135944,2005,8
200509,9,0,0,1,2,4,4240,2005,8
200509,9,0,0,1,2,4,4166,2005,8
200509,10,1,2,1,3,0,4792,2005,8
200509,10,1,2,1,3,0,5140,2005,8
200509,12,1,3,1,3,0,108,2005,8
200509,12,1,3,1,3,0,315,2005,8
200509,13,1,3,1,3,0,20455,2005,8
200509,13,1,3,1,3,0,20635,2005,8
200509,14,1,2,1,3,0,8370,2005,8
200509,14,1,2,1,3,0,9874,2005,8
200509,15,1,2,1,3,0,9154,2005,8
200509,15,1,2,1,3,0,9486,2005,8
200509,16,0,0,0,0,2,17291,2005,8
200509,16,0,0,1,0,2,68347,2005,8
200509,16,0,0,0,0,2,17453,2005,8
200509,16,0,0,1,0,2,67160,2005,8
200509,17,1,2,1,3,6,9931,2005,8
200509,17,1,2,1,3,6,10752,2005,8
200509,18,0,0,0,0,1,13426,2005,8
200509,18,0,0,0,0,1,12989,2005,8
200509,19,0,0,1,0,2,7735,2005,8
200509,19,0,0,1,0,2,7624,2005,8
200509,20,0,0,1,0,1,4648,2005,8
200509,20,0,0,1,0,1,4401,2005,8
200509,21,1,3,1,3,0,1996,2005,8
200509,21,1,3,1,3,0,1677,2005,8
200509,22,0,0,0,3,0,5218,2005,8
200509,22,0,0,0,3,0,5503,2005,8
200509,23,1,2,1,3,0,7087,2005,8
200509,23,1,2,1,3,0,8264,2005,8
200509,24,1,3,1,3,0,9562,2005,8
200509,24,1,3,1,3,0,9513,2005,8
200509,25,1,2,1,3,0,4344,2005,8
200509,25,1,2,1,3,0,3448,2005,8
200509,26,1,3,1,3,6,20535,2005,8
200509,26,1,3,1,3,6,21379,2005,8
200509,27,0,0,1,0,1,1781,2005,8
200509,27,0,0,1,0,1,1751,2005,8
200509,28,1,5,1,3,6,3986,2005,8
200509,28,1,5,1,3,6,4823,2005,8
200509,29,0,0,1,0,0,2913,2005,8
200509,29,0,0,1,0,0,2867,2005,8
200509,30,0,0,1,0,2,48138,2005,8
200509,30,0,0,1,0,2,47061,2005,8
200509,30,1,2,1,3,0,5857,2005,8
200509,30,1,2,1,3,0,5615,2005,8
200509,31,1,2,1,3,0,8323,2005,8
200509,31,1,2,1,3,0,7875,2005,8
200509,32,1,2,1,3,6,15259,2005,8
200509,32,1,2,1,3,6,14251,2005,8
200509,33,0,0,1,0,2,6356,2005,8
200509,33,0,0,1,0,2,6666,2005,8
200509,33,0,0,1,2,5,96832,2005,8
200509,33,0,0,1,2,5,95008,2005,8
200509,33,1,1,1,2,5,3581,2005,8
200509,33,1,1,1,2,5,3457,2005,8
200509,34,0,0,0,0,1,3686,2005,8
200509,34,0,0,0,0,1,3592,2005,8
200509,35,1,6,1,3,6,3790,2005,8
200509,35,1,6,1,3,6,3529,2005,8
200509,36,0,0,1,0,0,35942,2005,8
200509,36,0,0,1,0,0,36632,2005,8
200509,36,0,0,0,0,1,34782,2005,8
200509,36,0,0,0,0,1,34761,2005,8
200509,37,0,0,1,0,1,50133,2005,8
200509,37,0,0,1,0,1,49094,2005,8
200509,38,0,0,0,2,4,50351,2005,8
200509,38,0,0,1,2,4,24678,2005,8
200509,38,0,0,0,2,4,50235,2005,8
200509,38,0,0,1,2,4,23767,2005,8
200509,38,0,0,1,2,4,483,2005,8
200509,38,0,0,1,2,5,357533,2005,8
200509,38,0,0,1,2,5,360563,2005,8
200509,38,0,0,1,2,5,8271,2005,8
200509,38,1,2,1,3,6,63027,2005,8
200509,38,1,2,1,3,6,62403,2005,8
200509,38,1,2,1,3,6,3163,2005,8
200509,38,1,4,1,3,6,8048,2005,8
200509,38,1,4,1,3,6,7750,2005,8
200509,38,1,4,1,3,6,1264,2005,8
200509,38,1,1,1,2,5,12095,2005,8
200509,38,1,1,1,2,5,10220,2005,8
200509,38,1,1,1,2,5,10,2005,8
200509,38,1,3,1,3,6,28093,2005,8
200509,38,1,3,1,3,6,29928,2005,8
200509,38,1,3,1,3,6,759,2005,8
200509,38,1,5,1,3,6,5191,2005,8
200509,38,1,5,1,3,6,5123,2005,8
200509,38,1,5,1,3,6,96,2005,8
200509,39,1,3,1,3,0,11084,2005,8
200509,39,1,3,1,3,0,11623,2005,8
200509,40,1,1,1,3,0,2050,2005,8
200509,40,1,1,1,3,0,1997,2005,8
200510,0,0,0,0,0,1,17698,2005,9
200510,0,0,0,0,0,1,19983,2005,9
200510,0,0,0,0,0,1,5754,2005,9
200510,1,1,1,1,0,1,22176,2005,9
200510,1,1,1,1,0,1,22780,2005,9
200510,2,1,2,1,3,6,4329,2005,9
200510,2,1,2,1,3,6,4715,2005,9
200510,3,1,3,1,3,0,10515,2005,9
200510,3,1,3,1,3,0,10796,2005,9
200510,4,1,4,1,3,6,3178,2005,9
200510,4,1,4,1,3,6,4766,2005,9
200510,5,0,0,0,3,0,6680,2005,9
200510,5,0,0,0,3,0,6999,2005,9
200510,6,0,0,1,3,0,29388,2005,9
200510,6,0,0,1,3,0,33214,2005,9
200510,6,0,0,1,3,0,4159,2005,9
200510,6,1,1,1,3,0,5168,2005,9
200510,6,1,1,1,3,0,6093,2005,9
200510,6,1,1,1,3,0,793,2005,9
200510,6,1,5,1,3,0,5940,2005,9
200510,6,1,5,1,3,0,9998,2005,9
200510,6,1,5,1,3,0,2773,2005,9
200510,7,1,2,1,3,6,5669,2005,9
200510,7,1,2,1,3,6,6001,2005,9
200510,8,0,0,1,2,4,138090,2005,9
200510,8,0,0,1,2,4,138552,2005,9
200510,9,0,0,1,2,4,4669,2005,9
200510,9,0,0,1,2,4,4524,2005,9
200510,10,1,2,1,3,0,4674,2005,9
200510,10,1,2,1,3,0,5409,2005,9
200510,13,1,3,1,3,0,19453,2005,9
200510,13,1,3,1,3,0,18988,2005,9
200510,14,1,2,1,3,0,9571,2005,9
200510,14,1,2,1,3,0,11106,2005,9
200510,15,1,2,1,3,0,8919,2005,9
200510,15,1,2,1,3,0,10254,2005,9
200510,16,0,0,0,0,2,21516,2005,9
200510,16,0,0,1,0,2,62701,2005,9
200510,16,0,0,0,0,2,20904,2005,9
200510,16,0,0,1,0,2,63704,2005,9
200510,17,1,2,1,3,6,10122,2005,9
